motif	tf.gene	tf.ensg
DMAP1_NCOR{1,2}_SMARC.p2	SMARCAL1	ENSG00000138375
DMAP1_NCOR{1,2}_SMARC.p2	SMARCB1	ENSG00000099956
DMAP1_NCOR{1,2}_SMARC.p2	SMARCC1	ENSG00000173473
DMAP1_NCOR{1,2}_SMARC.p2	SMARCC2	ENSG00000139613
DMAP1_NCOR{1,2}_SMARC.p2	SMARCD1	ENSG00000066117
DMAP1_NCOR{1,2}_SMARC.p2	SMARCD2	ENSG00000108604
DMAP1_NCOR{1,2}_SMARC.p2	SMARCD3	ENSG00000082014
DMAP1_NCOR{1,2}_SMARC.p2	SMARCE1	ENSG00000073584
ELK1,4_GABP{A,B1}.p3	ELK4	ENSG00000158711
ELK1,4_GABP{A,B1}.p3	GABPA	ENSG00000154727
ELK1,4_GABP{A,B1}.p3	GABPB1	ENSG00000104064
ELK1,4_GABP{A,B1}.p3	ELK1	ENSG00000126767
EP300.p2	EP300	ENSG00000100393
ETS1,2.p2	ETS2	ENSG00000157557
ETS1,2.p2	ETS1	ENSG00000134954
EWSR1-FLI1.p2	EWSR1	ENSG00000182944
EWSR1-FLI1.p2	FLI1	ENSG00000151702
GLI1..3.p2	GLI1	ENSG00000111087
GLI1..3.p2	GLI2	ENSG00000074047
GLI1..3.p2	GLI3	ENSG00000106571
GTF2A1,2.p2	GTF2A1	ENSG00000165417
GTF2A1,2.p2	GTF2A2	ENSG00000140307
GTF2I.p2	GTF2I	ENSG00000263001
GZF1.p2	GZF1	ENSG00000125812
HBP1_HMGB_SSRP1_UBTF.p2	HBP1	ENSG00000105856
HBP1_HMGB_SSRP1_UBTF.p2	SSRP1	ENSG00000149136
HBP1_HMGB_SSRP1_UBTF.p2	UBTF	ENSG00000108312
HMGA1,2.p2	HMGA1	ENSG00000137309
HMGA1,2.p2	HMGA2	ENSG00000149948
IKZF1.p2	IKZF1	ENSG00000185811
IKZF2.p2	IKZF2	ENSG00000030419
LEF1_TCF7_TCF7L1,2.p2	LEF1	ENSG00000138795
LEF1_TCF7_TCF7L1,2.p2	TCF7	ENSG00000081059
LEF1_TCF7_TCF7L1,2.p2	TCF7L1	ENSG00000152284
LEF1_TCF7_TCF7L1,2.p2	TCF7L2	ENSG00000148737
LMO2.p2	LMO2	ENSG00000135363
MAZ.p2	MAZ	ENSG00000103495
NKX2-1,4.p2	NKX2-1	ENSG00000136352
NKX2-1,4.p2	NKX2-4	ENSG00000125816
NKX2-2,8.p2	NKX2-2	ENSG00000125820
NKX2-2,8.p2	NKX2-8	ENSG00000136327
NR1H4.p2	NR1H4	ENSG00000012504
NR5A1,2.p2	NR5A1	ENSG00000136931
NR5A1,2.p2	NR5A2	ENSG00000116833
NR6A1.p2	NR6A1	ENSG00000148200
PATZ1.p2	PATZ1	ENSG00000100105
RBPJ.p2	RBPJ	ENSG00000168214
RFX1..5_RFXANK_RFXAP.p2	RFX1	ENSG00000132005
RFX1..5_RFXANK_RFXAP.p2	RFX2	ENSG00000087903
RFX1..5_RFXANK_RFXAP.p2	RFX3	ENSG00000080298
RFX1..5_RFXANK_RFXAP.p2	RFX4	ENSG00000111783
RFX1..5_RFXANK_RFXAP.p2	RFX5	ENSG00000143390
RFX1..5_RFXANK_RFXAP.p2	RFXANK	ENSG00000064490
RFX1..5_RFXANK_RFXAP.p2	RFXAP	ENSG00000133111
SNAI1..3.p2	SNAI1	ENSG00000124216
SNAI1..3.p2	SNAI2	ENSG00000019549
SNAI1..3.p2	SNAI3	ENSG00000185669
TFDP1.p2	TFDP1	ENSG00000198176
ZBTB16.p2	ZBTB16	ENSG00000109906
ZBTB6.p2	ZBTB6	ENSG00000186130
ZIC1..3.p2	ZIC1	ENSG00000152977
ZIC1..3.p2	ZIC2	ENSG00000043355
ZIC1..3.p2	ZIC3	ENSG00000156925
ZNF148.p2	ZNF148	ENSG00000163848
ZNF384.p2	ZNF384	ENSG00000126746
BHLHE22_DBD	BHLHE22	ENSG00000180828
ETV6_full_2	ETV6	ENSG00000139083
HOMEZ_DBD	HOMEZ	ENSG00000215271
